CAS	換算先	分子式からの値	リストの値	差
89452-37-9	Sb	15.240	23.700	8.460
72253-09-9	Co	20.302	11.900	8.402
1443500-22-8	B	19.581	11.300	8.281
1242163-03-6	B	19.581	11.300	8.281
12447-40-4	B	19.581	11.300	8.281
910783-71-0	B	19.581	11.300	8.281
71377-02-1	B	19.581	11.300	8.281
61028-24-8	B	19.581	11.300	8.281
950582-60-2	B	19.581	11.300	8.281
12688-51-6	B	17.358	25.600	8.242
108662-77-7	B	17.358	25.600	8.242
110271-56-2	B	17.358	25.600	8.242
796879-31-7	B	17.358	25.600	8.242
12044-49-4	As	75.506	67.300	8.206
112764-76-8	V	13.699	5.500	8.199
70206-08-5	Cd	52.161	44.000	8.161
13464-38-5	As	44.141	36.000	8.141
17029-22-0	As	32.859	24.740	8.119
11111-46-9	As	32.859	24.740	8.119
53731-35-4	Mn	23.588	15.500	8.088
15684-36-3	Ni	17.243	25.300	8.057
12060-00-3	Pb	76.439	68.400	8.039
6996-92-5	Se	33.880	41.800	7.920
13530-67-1	Cr	29.367	21.600	7.767
68239-47-4	Co	7.103	14.700	7.597
80867-26-1	Zn	33.109	40.500	7.391
12228-91-0	B	13.224	20.600	7.376
15528-31-1	Co	29.353	22.030	7.323
16671-27-5	Cr	39.182	31.890	7.292
137506-60-6	Co	42.406	49.500	7.094
89256-12-2	V	31.274	24.200	7.074
13446-72-5	Cr	25.158	18.100	7.058
13446-73-6	Cr	33.910	26.880	7.030
1302-82-5	Se	74.534	81.400	6.866
13454-78-9	Cr	20.461	13.600	6.861
128448-04-4	Cr	20.461	13.600	6.861
7788-99-0	Cr	17.044	10.400	6.644
10031-13-7	Pb	55.835	49.200	6.635
12139-23-0	Cd	51.181	44.700	6.481
15293-74-0	B	15.233	21.700	6.467
69011-07-0	Cr	12.521	6.270	6.251
7789-02-8	Cr	19.228	13.000	6.228
12060-01-4	Pb	65.898	59.800	6.098
13473-75-1	Cr	15.970	9.910	6.060
64333-01-3	Mn	37.663	43.700	6.037
35585-58-1	B	11.189	5.200	5.989
18454-12-1	Cr	15.329	9.520	5.809
10294-64-1	Mn	33.653	27.900	5.753
7785-24-2	As	27.273	33.000	5.727
34269-30-2	B	75.394	81.100	5.706
1303-93-1	B	75.394	81.100	5.706
22829-50-1	B	75.394	81.100	5.706
23778-08-7	B	75.394	81.100	5.706
7789-00-6	Cr	32.436	26.800	5.636
14402-75-6	Cd	43.505	38.100	5.405
28300-74-5	Sb	41.900	36.500	5.400
7789-49-3	Ni	21.535	26.900	5.365
13963-58-1	Co	22.812	17.700	5.112
11071-15-1	Sb	44.714	39.700	5.014
106463-33-6	Mo	51.548	46.600	4.948
14666-91-2	Mo	51.548	46.600	4.948
7631-95-0	Mo	51.548	46.600	4.948
16565-94-9	Cr	19.989	24.930	4.941
7782-86-7	Hg	76.388	71.500	4.888
1303-39-5	Zn	28.586	23.700	4.886
13770-24-6	B	14.102	9.250	4.852
10026-19-4	Co	14.004	18.840	4.836
26006-65-5	Cd	36.000	31.200	4.800
52037-44-2	Cd	36.000	31.200	4.800
26006-69-9	Cd	36.000	31.200	4.800
7790-85-4	Cd	36.000	31.200	4.800
7789-12-0	Cr	39.697	34.900	4.797
193906-27-3	B	13.796	18.500	4.704
163701-95-9	B	13.796	18.500	4.704
13764-84-6	B	13.796	18.500	4.704
13601-11-1	Cr	20.682	15.980	4.702
93840-06-3	Sb	23.901	28.600	4.699
557-12-0	Ni	29.076	24.400	4.676
22750-54-5	Cd	35.648	40.200	4.552
7778-50-9	Cr	39.951	35.400	4.551
13497-94-4	V	29.141	24.600	4.541
14836-60-3	Hg	66.945	71.480	4.535
12022-76-3	V	41.488	45.900	4.412
12323-01-2	Mo	38.491	34.100	4.391
79048-36-5	Mn	34.349	38.700	4.351
15244-35-6	Cd	53.922	49.600	4.322
7778-43-0	As	44.561	40.300	4.261
55957-14-7	As	44.561	40.300	4.261
10534-83-5	Co	27.406	23.150	4.256
12179-04-3	B	19.029	14.800	4.229
13701-61-6	B	13.305	9.100	4.205
66019-04-3	Zn	11.720	15.900	4.180
74365-27-8	Sb	45.950	41.870	4.080
13520-66-6	Cr	18.559	14.510	4.049
15702-33-7	Mn	37.337	33.300	4.037
7775-11-3	Cr	36.059	32.100	3.959
10049-22-6	Sb	61.729	57.800	3.929
12513-27-8	B	10.189	14.100	3.911
10326-28-0	Cd	30.501	26.800	3.701
7784-44-3	As	46.199	42.570	3.629
1302-52-9	Be	4.919	1.300	3.619
10101-58-3	Co	22.774	19.200	3.574
14312-40-4	B	12.062	8.500	3.562
