110587-14-9	110587-14-9
Dichlorotrifluoroethane	812-04-4
Dichlorotrifluoropropane	1081835-90-6
Dichlorotrifluoropropane	116890-51-8
Dichlorotrifluoropropane	1379241-46-9
Dichlorotrifluoropropane	139754-78-2
Dichlorotrifluoropropane	149329-27-1
Dichlorotrifluoropropane	151771-08-3
Dichlorotrifluoropropane	155329-34-3
Dichlorotrifluoropropane	199171-49-8
Dichlorotrifluoropropane	213248-61-4
Dichlorotrifluoropropane	338-75-0
Dichlorotrifluoropropane	460-69-5
Dichlorotrifluoropropane	67406-68-2
Dichlorotrifluoropropane	70192-70-0
Dichlorotrifluoropropane	7125-99-7
Dichlorotrifluoropropane	7126-00-3
Dichlorotrifluoropropane	7126-01-4
Hexachlorofluoropropane	422-26-4
Hexachlorofluoropropane	422-28-6
Hexachlorofluoropropane	422-40-2
Hexachlorofluoropropane	431-79-8
Pentachlorodifluoropropane	146254-25-3
Pentachlorodifluoropropane	146254-26-4
Pentachlorodifluoropropane	147728-30-1
Pentachlorodifluoropropane	147728-31-2
Pentachlorodifluoropropane	422-27-5
Pentachlorodifluoropropane	422-30-0
Pentachlorodifluoropropane	422-49-1
Pentachlorodifluoropropane	431-80-1
Pentachlorodifluoropropane	431-82-3
Pentachlorofluoropropane	1538604-29-3
Pentachlorofluoropropane	1538604-31-7
Pentachlorofluoropropane	1943659-45-7
Pentachlorofluoropropane	313696-58-1
Pentachlorofluoropropane	421-94-3
Tetrachlorodifluoropropane	1112-14-7
Tetrachlorodifluoropropane	127564-82-3
Tetrachlorodifluoropropane	1538604-30-6
Tetrachlorodifluoropropane	1943659-44-6
Tetrachlorodifluoropropane	1943659-46-8
Tetrachlorodifluoropropane	313696-57-0
Tetrachlorodifluoropropane	460-89-9
Tetrachlorodifluoropropane	677-54-3
Tetrachlorodifluoropropane	67879-59-8
Tetrachlorofluoroethane	134237-32-4
Tetrachlorofluoroethane	354-11-0
Tetrachlorofluoroethane	354-14-3
Tetrachlorofluoropropane	175897-94-6
Tetrachlorofluoropropane	21981-25-9
Tetrachlorofluoropropane	23153-22-2
Tetrachlorofluoropropane	3175-25-5
Tetrachlorofluoropropane	3175-26-6
Tetrachlorofluoropropane	666-27-3
Tetrachlorofluoropropane	7126-06-9
Tetrachlorofluoropropane	84816-05-7
Tetrachlorotrifluoropropane	134237-37-9
Tetrachlorotrifluoropropane	144909-54-6
Tetrachlorotrifluoropropane	145599-91-3
Tetrachlorotrifluoropropane	147728-32-3
Tetrachlorotrifluoropropane	422-29-7
Tetrachlorotrifluoropropane	422-35-5
Tetrachlorotrifluoropropane	422-41-3
Tetrachlorotrifluoropropane	422-50-4
Tetrachlorotrifluoropropane	422-52-6
Tetrachlorotrifluoropropane	431-81-2
Tetrachlorotrifluoropropane	431-83-4
Tetrachlorotrifluoropropane	54002-59-4
Trichlorodifluoroethane	134237-33-5
Trichlorodifluoroethane	354-12-1
Trichlorodifluoroethane	354-15-4
Trichlorodifluoroethane	354-21-2
Trichlorodifluoroethane	41834-16-6
Trichlorodifluoroethane	55949-46-7
Trichlorodifluoroethane	62549-18-2
Trichlorodifluoroethane	712351-74-1
Trichlorodifluoropropane	1112-05-6
Trichlorodifluoropropane	1112-13-6
Trichlorodifluoropropane	175897-95-7
Trichlorodifluoropropane	1980063-50-0
Trichlorodifluoropropane	2106760-91-0
Trichlorodifluoropropane	213248-60-3
Trichlorodifluoropropane	431-24-3
Trichlorodifluoropropane	460-63-9
Trichlorodifluoropropane	7126-04-7
Trichlorodifluoropropane	7126-05-8
Trichlorodifluoropropane	7164-14-9
Trichlorofluoroethane	134237-34-6
Trichlorofluoroethane	2366-36-1
Trichlorofluoroethane	359-28-4
Trichlorofluoroethane	811-95-0
Trichlorofluoroethane	90134-98-8
Trichlorofluoropropane	1448144-70-4
Trichlorofluoropropane	2035078-31-8
Trichlorofluoropropane	2106760-90-9
Trichlorofluoropropane	3175-24-4
Trichlorofluoropropane	339202-89-0
Trichlorofluoropropane	421-41-0
Trichlorofluoropropane	67832-44-4
Trichlorofluoropropane	67832-50-2
Trichlorofluoropropane	70192-89-1
Trichlorofluoropropane	7126-16-1
Trichlorofluoropropane	76937-36-5
Trichlorofluoropropane	76985-33-6
Trichlorofluoropropane	76985-34-7
Trichlorofluoropropane	818-99-5
Trichlorotetrafluoropropane	134237-38-0
Trichlorotetrafluoropropane	139754-75-9
Trichlorotetrafluoropropane	139754-76-0
Trichlorotetrafluoropropane	144909-55-7
Trichlorotetrafluoropropane	144909-56-8
Trichlorotetrafluoropropane	422-32-2
Trichlorotetrafluoropropane	422-42-4
Trichlorotetrafluoropropane	422-47-9
Trichlorotetrafluoropropane	422-51-5
Trichlorotetrafluoropropane	422-53-7
Trichlorotetrafluoropropane	422-54-8
Trichlorotetrafluoropropane	431-84-5
Trichlorotetrafluoropropane	431-85-6
Trichlorotetrafluoropropane	53063-52-8
Trichlorotetrafluoropropane	53063-53-9
Trichlorotetrafluoropropane	812-30-6
Trichlorotrifluoropropane	13058-99-6
Trichlorotrifluoropropane	131211-71-7
Trichlorotrifluoropropane	131221-36-8
Trichlorotrifluoropropane	1943659-38-8
Trichlorotrifluoropropane	333-26-6
Trichlorotrifluoropropane	421-95-4
Trichlorotrifluoropropane	421-99-8
Trichlorotrifluoropropane	431-51-6
Trichlorotrifluoropropane	54306-56-8
Trichlorotrifluoropropane	54377-32-1
Trichlorotrifluoropropane	7125-83-9
Trichlorotrifluoropropane	7125-84-0
