1224854-28-7	1224854-28-7
128035-10-9	128035-10-9
1438279-26-5	1438279-26-5
1450926-36-9	1450926-36-9
1511-62-2	1511-62-2
1511-62-2	443095-54-3
1868-53-7	1868-53-7
20705-29-7	20705-29-7
30283-90-0	290308-64-4
30283-90-0	30283-90-0
30283-91-1	129702-15-4
30283-91-1	30283-91-1
30283-91-1	38097-48-2
31392-96-8	31392-96-8
353-93-5	353-93-5
357188-74-0	357188-74-0
373-52-4	373-52-4
420-92-8	420-92-8
65291-92-1	65291-92-1
72101-30-5	72101-30-5
958807-68-6	958807-68-6
Bromodifluoroethane	1800-81-3
Bromodifluoroethane	359-07-9
Bromodifluoroethane	420-43-9
Bromodifluoropropane	111483-20-6
Bromodifluoropropane	2195-05-3
Bromodifluoropropane	420-89-3
Bromodifluoropropane	420-98-4
Bromodifluoropropane	430-87-5
Bromodifluoropropane	461-49-4
Bromodifluoropropane	958807-78-8
Bromofluoroethane	2311-13-9
Bromofluoroethane	762-49-2
Bromofluoropropane	1871-72-3
Bromofluoropropane	2311-00-4
Bromofluoropropane	352-91-0
Bromofluoropropane	62122-17-2
Bromofluoropropane	62135-12-0
Bromohexafluoropropane	2252-78-0
Bromohexafluoropropane	2252-79-1
Bromohexafluoropropane	2252-80-4
Bromohexafluoropropane	2805-10-9
Bromohexafluoropropane	63905-11-3
Bromopentafluoropropane	22692-16-6
Bromopentafluoropropane	26391-11-7
Bromopentafluoropropane	273927-78-9
Bromopentafluoropropane	273927-79-0
Bromopentafluoropropane	422-01-5
Bromopentafluoropropane	460-88-8
Bromopentafluoropropane	53692-43-6
Bromopentafluoropropane	53692-44-7
Bromopentafluoropropane	677-52-1
Bromopentafluoropropane	677-53-2
Bromopentafluoropropane	679-94-7
Bromotetrafluoroethane	124-72-1
Bromotetrafluoroethane	354-07-4
Bromotetrafluoropropane	1007131-84-1
Bromotetrafluoropropane	1170659-83-2
Bromotetrafluoropropane	1195673-65-4
Bromotetrafluoropropane	19041-01-1
Bromotetrafluoropropane	29151-25-5
Bromotetrafluoropropane	460-67-3
Bromotetrafluoropropane	679-84-5
