10045-94-0	Mercury(II) nitrate
10112-91-1	Mercury chloride
1344-48-5	Mercury sulfide (HgS)
19122-79-3	Cinnabar
21908-53-2	Mercury(II) oxide
7439-97-6	Mercury
7546-30-7	Mercury chloride (HgCl)
7783-35-9	Sulfuric acid, mercury(2+) salt (1:1)
RR-00138-7	Mercury compounds
RR-56263-0	Amalgams of mercury
RR-87612-0	Alloys of mercury
RR-87613-1	Mixtures of metallic mercury with other substances
