83704-21-6	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
RR-00573-2	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
992-98-3	"Present ([PC037])" As Thallium compounds [RR-00575-4]
136048-66-3	"Present ([PC037])" As Thallium compounds [RR-00575-4]
69698-57-3	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
5144-10-5	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
RR-11162-6	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
31065-88-0	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
27274-05-1	"Present ([PC028])" As Chrysene [218-01-9]
10442-39-4	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
623-26-7	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
39262-04-9	"Present ([PC037])" As Thallium compounds [RR-00575-4]
50-32-8	Present ([PC028])
108-88-3	Present ([PC030])
115-96-8	Present ([PC032])
1825-21-4	Present ([PC038])
608-93-5	Present ([PC034])
56-55-3	Present ([PC028])
71-43-2	Present ([PC027])
68937-41-7	Present ([PC040])
78-87-5	Present ([PC024])
75-35-4	Present ([PC023])
732-26-3	Present ([PC026])
74-90-8	Present ([PC036])
7440-28-0	Present ([PC037])
RR-00812-8	Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])
RR-64340-3	Present ([PC035])
RR-171177-9	Present ([PC035])
RR-184604-4	Present ([PC036])
53-70-3	Present ([PC028])
95-53-4	Present ([PC031])
87-86-5	Present ([PC038])
RR-00575-4	Present ([PC037])
3772-94-9	Present ([PC038])
335-67-1	Present ([PC035])
27735-64-4	Present ([PC038])
207-08-9	Present ([PC028])
218-01-9	Present ([PC028])
120-12-7	Present ([PC028])
118-74-1	Present ([PC034])
136677-09-3	Present ([PC029])
136677-10-6	Present ([PC029])
121-14-2	Present ([PC025])
131-52-2	Present ([PC038])
133-49-3	Present ([PC039])
87-68-3	Present ([PC033])
205-99-2	Present ([PC028])
61971-47-9	"Present ([PC037])" As Thallium compounds [RR-00575-4]
