1.1	1053657-18-3
1.1	218625-70-8
1.1	7697-37-2
1.1	78989-43-2
1.1	802862-59-5
1.1	UN2031
1.1	UN2032
1.2	52583-42-3
1.3	101200-37-7
1.3	101200-37-7
1.3	101200-37-7
1.3	102278-63-7
1.3	102278-63-7
1.3	102278-63-7
1.3	106644-01-3
1.3	106644-01-3
1.3	106644-01-3
1.3	111341-24-3
1.3	111341-24-3
1.3	111341-24-3
1.3	119630-46-5
1.3	119630-46-5
1.3	119630-46-5
1.3	139339-89-2
1.3	139339-89-2
1.3	139339-89-2
1.3	143171-41-9
1.3	143171-41-9
1.3	143171-41-9
1.3	153389-31-2
1.3	153389-31-2
1.3	153389-31-2
1.3	200863-18-9
1.3	200863-18-9
1.3	200863-18-9
1.3	47999-51-9
1.3	47999-51-9
1.3	47999-51-9
1.3	7601-90-3
1.3	7601-90-3
1.3	7601-90-3
1.3	766444-83-1
1.3	766444-83-1
1.3	766444-83-1
1.3	845752-15-0
1.3	845752-15-0
1.3	845752-15-0
1.3	90149-16-9
1.3	90149-16-9
1.3	90149-16-9
1.3	92785-38-1
1.3	92785-38-1
1.3	92785-38-1
1.3	957554-95-9
1.3	957554-95-9
1.3	957554-95-9
1.3	95912-44-0
1.3	95912-44-0
1.3	95912-44-0
1.3	95998-58-6
1.3	95998-58-6
1.3	95998-58-6
1.3	UN1802
1.3	UN1802
1.3	UN1802
1.3	UN1873
1.3	UN1873
1.3	UN1873
2.1	15621-57-5
2.1	7631-99-4
2.1	82850-40-6
2.1	862599-22-2
2.1	87720-84-1
2.1	UN1498
2.10	10196-18-6
2.10	19154-63-3
2.10	22842-96-2
2.10	7779-88-6
2.10	UN1514
2.11	10099-74-8
2.11	18256-98-9
2.11	UN1469
2.2	7757-79-1
2.2	96193-83-8
2.2	UN1486
2.3	7789-18-6
2.3	UN1451
2.4	10213-15-7
2.4	10377-60-3
2.4	13446-18-9
2.4	15750-45-5
2.4	22763-47-9
2.4	50908-84-4
2.4	UN1474
2.5	10124-37-5
2.5	13477-34-4
2.5	15842-29-2
2.5	260792-08-3
2.5	292135-47-8
2.5	35054-52-5
2.5	56532-05-9
2.5	94079-75-1
2.5	95680-75-4
2.5	UN1454
2.6	10042-76-9
2.6	13470-05-8
2.6	518051-66-6
2.6	UN1507
2.7	10022-31-8
2.7	UN1446
2.8	13138-45-9
2.8	13478-00-7
2.8	13778-29-5
2.8	14216-75-2
2.8	16456-84-1
2.8	16699-63-1
2.8	18534-07-1
2.8	23232-50-0
2.8	UN2725
2.9	31890-20-7
2.9	7761-88-8
2.9	8012-12-2
2.9	UN1493
3.1	11096-45-0
3.1	11096-45-0
3.1	38869-73-7
3.1	38869-73-7
3.1	38869-74-8
3.1	38869-74-8
3.1	7775-09-9
3.1	7775-09-9
3.1	UN1495
3.1	UN1495
3.1	UN2428
3.1	UN2428
3.2	3811-04-9
3.2	3811-04-9
3.2	UN1485
3.2	UN1485
3.2	UN2427
3.2	UN2427
3.3	10192-29-7
4.1	13453-78-6
4.1	14124-98-2
4.1	69102-67-6
4.1	7791-03-9
4.1	885623-91-6
4.2	7601-89-0
4.2	7791-07-3
4.2	UN1502
4.3	7778-74-7
4.3	UN1489
4.4	1124383-17-0
4.4	13777-04-3
4.4	19166-97-3
4.4	222532-79-8
4.4	28499-39-0
4.4	53026-82-7
4.4	642089-67-6
4.4	7790-98-9
4.4	87110-01-8
4.4	UN0402
4.4	UN1442
5.1	10022-48-7
5.1	13843-81-7
5.2	1018900-84-9
5.2	10588-01-9
5.2	1088355-13-8
5.2	12018-32-5
5.2	1391351-00-0
5.2	7789-12-0
5.3	7778-50-9
5.4	7789-09-5
5.4	UN1439
6.1	218625-72-0
6.1	218625-72-0
6.1	218625-72-0
6.1	37355-84-3
6.1	37355-84-3
6.1	37355-84-3
6.1	66554-50-5
6.1	66554-50-5
6.1	66554-50-5
6.1	7722-84-1
6.1	7722-84-1
6.1	7722-84-1
6.1	8007-30-5
6.1	8007-30-5
6.1	8007-30-5
6.1	UN2014
6.1	UN2014
6.1	UN2014
6.1	UN2015
6.1	UN2015
6.1	UN2015
6.1	UN2984
6.1	UN2984
6.1	UN2984
6.10	12263-76-2
6.10	124-43-6
6.10	12772-89-3
6.10	1360537-36-5
6.10	37211-55-5
6.10	UN1511
6.11	232259-02-8
6.11	232259-02-8
6.11	79-21-0
6.11	79-21-0
6.11	89370-71-8
6.11	89370-71-8
6.12	188070-59-9
6.12	209969-79-9
6.12	246180-99-4
6.12	478016-94-3
6.12	80-43-3
6.12	82322-57-4
6.12	88161-12-0
6.12	945614-06-2
6.13	93-59-4
6.14	12034-12-7
6.14	UN2547
6.15	12030-88-5
6.15	UN2466
6.2	12031-80-0
6.2	55248-03-8
6.2	UN1472
6.3	1313-60-6
6.3	55248-04-9
6.3	UN1504
6.4	17014-71-0
6.4	UN1491
6.5	1335-26-8
6.6	12049-69-3
6.6	1305-79-9
6.6	55396-25-3
6.6	61976-87-2
6.6	UN1457
6.7	1314-18-7
6.7	UN1509
6.8	1304-29-6
6.8	16678-58-3
6.8	55396-27-5
6.8	61233-09-8
6.8	UN1449
6.9	1314-22-3
6.9	170904-51-5
6.9	UN1516
7.1	7439-93-2
7.1	UN1415
7.10	13967-71-0
7.10	13967-71-0
7.10	13981-27-6
7.10	13981-27-6
7.10	141631-74-5
7.10	141631-74-5
7.10	141631-75-6
7.10	141631-75-6
7.10	141631-77-8
7.10	141631-77-8
7.10	14681-75-5
7.10	14681-75-5
7.10	14928-30-4
7.10	14928-30-4
7.10	15743-56-3
7.10	15743-56-3
7.10	15751-77-6
7.10	15751-77-6
7.10	182260-46-4
7.10	182260-46-4
7.10	7440-67-7
7.10	7440-67-7
7.10	UN1308
7.10	UN1308
7.10	UN1358
7.10	UN1358
7.10	UN1932
7.10	UN1932
7.10	UN2008
7.10	UN2008
7.10	UN2009
7.10	UN2009
7.10	UN2858
7.10	UN2858
7.11	100-97-0
7.11	11103-67-6
7.11	1556839-80-5
7.11	15978-33-3
7.11	56549-34-9
7.11	74734-16-0
7.11	91773-48-7
7.11	UN1328
7.12	107-15-3
7.12	6780-13-8
7.12	8030-24-8
7.12	85404-18-8
7.12	UN1604
7.13	119775-09-6
7.13	119775-09-6
7.13	1391413-98-1
7.13	1391413-98-1
7.13	42939-70-8
7.13	42939-70-8
7.13	74-89-5
7.13	74-89-5
7.13	85404-17-7
7.13	85404-17-7
7.13	UN1061
7.13	UN1061
7.14	1303-73-7
7.14	1374667-27-2
7.14	16949-15-8
7.14	UN1413
7.15	1303-74-8
7.15	13034-02-1
7.15	15681-89-7
7.15	16940-66-2
7.15	24917-15-5
7.15	29158-40-5
7.15	UN1426
7.16	1303-72-6
7.16	13762-51-1
7.16	UN1870
7.2	13966-32-0
7.2	13982-04-2
7.2	184637-88-5
7.2	213530-35-9
7.2	351903-26-9
7.2	7440-23-5
7.2	UN1428
7.3	13966-00-2
7.3	14378-21-3
7.3	14378-22-4
