012-004-00-X	136618-51-4
013-001-00-6	RR-00019-1
013-002-00-1	7429-90-5
013-003-00-7	7446-70-0
013-004-00-2	RR-00022-6
013-005-00-8	55426-95-4
013-006-00-3	149057-70-5
013-007-00-9	138360-92-6
013-008-00-4	7585-14-0
013-009-00-X	RR-11655-2
013-010-00-5	151841-65-5
014-001-00-9	10025-78-2
014-002-00-4	10026-04-7
014-003-00-X	75-78-5
014-004-00-5	75-79-6
014-005-00-0	78-10-4
014-006-00-6	101804-03-9
014-007-00-1	17980-47-1
014-008-00-7	85491-26-5
014-009-00-2	111439-76-0
014-010-00-8	6834-92-0
014-011-00-3	17865-32-6
014-012-00-9	82985-35-1
014-013-00-4	164578-16-9
014-014-00-X	37894-46-5
014-015-00-5	69430-40-6
014-016-00-0	RR-06996-5
014-017-00-6	85509-19-9
014-018-00-1	556-67-2
014-019-00-7	RR-06971-6
014-020-00-2	53863-99-3
014-021-00-8	52301-18-5
014-022-00-3	RR-07031-5
014-023-00-9	125613-45-8
014-024-00-4	121626-74-2
014-025-00-X	102089-33-8
014-026-00-5	770722-36-6
014-027-00-0	770722-46-8
014-028-00-6	193159-06-7
014-029-00-1	156145-66-3
014-030-00-7	137390-08-0
014-031-00-2	18230-61-0
014-032-00-8	126990-35-0
014-033-00-3	125804-20-8
014-034-00-9	1873-90-1
014-035-00-4	10217-34-2
014-036-00-X	105024-66-6
014-037-00-5	34036-80-1
014-038-00-0	220727-26-4
014-039-00-6	142877-45-0
014-041-00-7	201290-01-9
014-042-00-2	156145-62-9
014-043-00-8	RR-18445-2
014-044-00-3	RR-18526-2
014-045-00-9	56450-90-9
014-046-00-4	RR-145682-2
014-047-00-X	RR-01808-6
014-048-00-5	308076-74-6
014-048-00-5	409-21-2
014-049-00-0	2768-02-7
014-050-00-6	1067-53-4
014-052-00-7	68909-20-6
015-001-00-1	12185-10-3
015-002-00-7	7723-14-0
015-003-00-2	1305-99-3
015-004-00-8	20859-73-8
015-005-00-3	12057-74-8
015-006-00-9	1314-84-7
015-007-00-4	7719-12-2
015-008-00-X	10026-13-8
015-009-00-5	10025-87-3
015-010-00-0	1314-56-3
015-011-00-6	7664-38-2
015-012-00-1	1314-85-8
015-013-00-7	78-40-0
015-014-00-2	126-73-8
015-015-00-8	78-30-8
015-016-00-3	78-32-0
015-019-00-X	62-73-7
015-020-00-5	7786-34-7
015-021-00-0	52-68-6
015-022-00-6	13171-21-6
015-023-00-1	108-34-9
015-024-00-7	1031-47-6
015-025-00-2	107-49-3
015-026-00-8	152-16-9
015-027-00-3	3689-24-5
015-028-00-9	298-03-3
015-029-00-4	126-75-0
015-030-00-X	867-27-6
015-031-00-5	919-86-8
015-032-00-0	2275-18-5
015-033-00-6	298-02-2
015-034-00-1	56-38-2
015-035-00-7	298-00-0
015-036-00-2	2104-64-5
015-037-00-8	2275-14-1
015-038-00-3	56-72-4
015-039-00-9	86-50-0
015-040-00-4	333-41-5
015-041-00-X	121-75-5
015-042-00-5	500-28-7
015-043-00-0	5826-76-6
015-044-00-6	786-19-6
015-045-00-1	2595-54-2
015-046-00-7	301-12-2
015-047-00-2	563-12-2
015-048-00-8	55-38-9
015-049-00-3	2778-04-3
015-050-00-9	640-15-3
015-051-00-4	60-51-5
015-052-00-X	299-84-3
015-053-00-5	78-57-9
015-054-00-0	122-14-5
015-055-00-6	300-76-5
015-056-00-1	2642-71-9
015-057-00-7	2540-82-1
015-058-00-2	144-41-2
015-059-00-8	2275-23-2
015-060-00-3	298-04-4
015-061-00-9	115-26-4
015-062-00-4	371-86-8
015-063-00-X	78-34-2
015-064-00-5	4824-78-6
015-065-00-0	2703-37-9
015-066-00-6	1113-02-6
015-067-00-1	2310-17-0
015-068-00-7	97-17-6
015-069-00-2	950-37-8
015-070-00-8	3734-95-0
015-071-00-3	470-90-6
015-072-00-9	6923-22-4
015-073-00-4	141-66-2
015-074-00-X	299-86-5
015-075-00-5	2635-50-9
015-076-00-0	299-45-6
015-077-00-6	7076-53-1
015-078-00-1	17040-19-6
015-079-00-7	30560-19-1
015-080-00-2	919-76-6
015-081-00-8	3244-90-4
015-082-00-3	5834-96-8
015-083-00-9	741-58-2
015-084-00-4	2921-88-2
015-085-00-X	115-78-6
015-086-00-5	572-48-5
015-087-00-0	2636-26-2
015-088-00-6	10311-84-9
015-089-00-1	116-01-8
015-090-00-7	115-90-2
015-091-00-2	944-22-9
015-092-00-8	4104-14-7
015-093-00-3	21609-90-5
015-094-00-9	950-10-7
015-095-00-4	10265-92-6
015-096-00-X	2497-07-6
015-097-00-5	2597-03-7
015-098-00-0	327-98-0
015-099-00-6	23505-41-1
015-100-00-X	14816-18-3
015-101-00-5	732-11-6
015-102-00-0	115-96-8
015-103-00-6	7789-60-8
015-104-00-1	1314-80-3
015-105-00-7	101-02-0
015-106-00-2	680-31-9
015-107-00-8	13194-48-4
015-108-00-3	2104-96-3
015-109-00-9	7700-17-6
015-110-00-4	13067-93-1
015-111-00-X	947-02-4
015-112-00-5	297-97-2
015-113-00-0	57018-04-9
015-114-00-6	24934-91-6
015-115-00-1	21923-23-9
015-116-00-7	682-80-4
015-117-00-2	2587-90-8
015-118-00-8	8065-48-3
015-119-00-3	3254-63-5
015-120-00-9	5131-24-8
015-121-00-4	17109-49-8
015-122-00-X	38260-54-7
015-123-00-5	22224-92-6
015-124-00-0	21548-32-3
015-125-00-6	2439-99-8
015-126-00-1	23560-59-0
015-127-00-7	26087-47-8
015-128-00-2	5827-05-4
015-129-00-8	25311-71-1
015-130-00-3	36614-38-7
015-131-00-9	18854-01-8
015-132-00-4	953-17-3
015-133-00-X	24151-93-7
015-134-00-5	29232-93-7
015-135-00-0	41198-08-7
015-136-00-6	31218-83-4
015-137-00-1	13457-18-6
015-138-00-7	13593-03-8
015-139-00-2	13071-79-9
015-140-00-8	24017-47-8
015-141-00-3	164907-74-8
015-142-00-9	109037-78-7
015-143-00-4	149057-67-0
015-144-00-X	87025-52-3
015-145-00-5	RR-02604-0
015-146-00-0	255881-94-8
015-147-00-6	RR-02606-2
015-148-00-1	51395-42-7
015-149-00-7	RR-02616-4
015-150-00-2	86608-70-0
015-151-00-8	RR-02583-2
015-152-00-3	3811-49-2
015-153-00-9	42509-80-8
015-154-00-4	16672-87-0
015-155-00-X	77182-82-2
015-156-00-5	30864-28-9
015-156-00-5	62610-77-9
015-157-00-0	10294-56-1
015-157-00-0	13598-36-2
015-158-00-6	32760-80-8
015-159-00-1	23783-26-8
015-160-00-7	58834-75-6
015-161-00-2	65232-89-5
015-162-00-8	RR-03762-7
015-163-00-3	145052-34-2
015-164-00-9	36669-85-9
015-165-00-4	RR-07058-6
015-166-00-X	80693-00-1
015-167-00-5	14657-64-8
015-168-00-0	98886-44-3
015-169-00-6	125792-14-5
015-170-00-1	RR-07084-8
015-171-00-7	126019-82-7
015-172-00-2	RR-06973-8
015-173-00-8	117291-73-3
015-174-00-3	82857-68-9
015-175-00-9	35000-38-5
015-176-00-4	116163-96-3
015-177-00-X	83623-61-4
015-178-00-5	25383-07-7
015-179-00-0	166242-53-1
015-180-00-6	137590-32-0
015-181-00-1	7803-51-2
015-182-00-7	10596-22-2
015-183-00-2	16610-63-2
015-184-00-8	RR-11985-7
015-186-00-9	5598-13-0
015-187-00-4	RR-16541-3
