10043-92-2	Radon
87-86-5	Pentachlorophenol
91-59-8	2-Naphthylamine
92-67-1	4-Aminobiphenyl
92-87-5	Benzidine
95-53-4	Benzenamine, 2-methyl-
98-50-0	Arsanilic acid
LU|Aflatoxins	Aflatoxins
LU|Aristolochia species and aristolochic acids	Aristolochia species and aristolochic acids
LU|Arsenic and arsenic compounds	Arsenic and arsenic compounds
LU|Arsenic in drinking water	Arsenic in drinking water
LU|Asbestos	Asbestos
LU|Benzidine	Benzidine
LU|Beryllium and beryllium compounds	Beryllium and beryllium compounds
LU|Bis(chloromethyl) ether, Chloromethyl methyl ether	Bis(chloromethyl) ether, Chloromethyl methyl ether
LU|Cadmium and cadmium compounds	Cadmium and cadmium compounds
LU|Chromium[VI]	Chromium[VI]
LU|Ciclosporin	Ciclosporin
LU|Coal tars	Coal tars
LU|Crystalline silica	Crystalline silica
LU|Crystalline silica inhaled in the form of quartz or cristobalite from occupational sources	Crystalline silica inhaled in the form of quartz or cristobalite from occupational sources
LU|Cyclophosphamide	Cyclophosphamide
LU|Diethylstilbestrol and estrogens nonsteroidal	Diethylstilbestrol and estrogens nonsteroidal
LU|Estrogens nonsteroidal	Estrogens nonsteroidal
LU|Estrogens steroidal	Estrogens steroidal
LU|Etoposide	Etoposide
LU|Hexachlorocyclohexanes	Hexachlorocyclohexanes
LU|MOPP and other combined chemotherapy including alkylating agents	MOPP and other combined chemotherapy including alkylating agents
LU|Melphalan	Melphalan
LU|Nickel ammonium sulfate hexahydrate	Nickel ammonium sulfate hexahydrate
LU|Nickel and nickel compounds	Nickel and nickel compounds
LU|Nickel and nickel compounds with subheading nickel monoxide	Nickel and nickel compounds with subheading nickel monoxide
LU|Polychlorinated dibenzofurans	Polychlorinated dibenzofurans
LU|Polychlorophenols and their sodium salts combined exposure	Polychlorophenols and their sodium salts combined exposure
LU|Radon and its decay products	Radon and its decay products
LU|Silica dust, crystalline, in the form of quartz or cristobalite	Silica dust, crystalline, in the form of quartz or cristobalite
LU|Some internally deposited radionuclides	Some internally deposited radionuclides
LU|Sunlamps and sun beds, use of	Sunlamps and sun beds, use of
LU|Tamoxifen	Tamoxifen
RR-00009-9	Welding fumes
RR-00026-0	Chromium(VI) compounds
RR-00027-1	Betel quid with tobacco
RR-00028-2	Soots
RR-00029-3	Talc containing asbestos fibers
RR-00030-6	Tobacco smoking
RR-00031-7	Tobacco products, smokeless
RR-00035-1	Arsenic organic compounds
RR-00051-1	Estrogens, nonsteroidal
RR-00052-2	Oestrogens, steroidal
RR-00054-4	Mineral oils, untreated or mildly treated
RR-00055-5	Analgesic mixtures containing phenacetin
RR-00056-6	8-Methoxypsoralen (Methoxsalen) plus ultraviolet A radiation
RR-00065-7	Arsenic inorganic compounds
RR-00066-8	Radionuclides, .alpha. and/or .beta.-particle-emitting, internally deposited
RR-00068-0	Isopropyl alcohol manufacture using strong acids
RR-00087-3	Silica, crystalline (general form)
RR-00158-1	Ionizing radiation
RR-00270-0	Diesel engine exhaust
RR-00514-1	Wood dust
RR-00525-4	Auramine, manufacture of
RR-00526-5	Underground haematite mining with exposure to radon
RR-00532-3	Dyes metabolized to benzidine
RR-00535-6	Coal gasification
RR-00536-7	Coke production
RR-00537-8	Iron and steel founding, occupational exposure during
RR-00539-0	Boot and shoe manufacture and repair
RR-00540-3	Magenta-manufacture of
RR-00542-5	Oestrogen-progestin combination, sequential oral contraceptives
RR-00543-6	Estrogen-progestogen oral contraceptives (combined)
RR-00545-8	Furniture and cabinet making
RR-00546-9	Aluminum production
RR-00548-1	Rubber industry
RR-00557-2	Beryllium compounds
RR-00559-4	Cadmium compounds
RR-00625-7	Arsenic compounds
RR-00800-4	Nickel compounds
RR-01707-2	Salted fish, Chinese style
RR-01961-4	Alcoholic beverages
RR-02508-1	Betel quid without tobacco
RR-03610-2	Helicobacter pylori (infection with)
RR-03611-3	Hepatitis B virus (chronic infection with)
RR-03612-4	Hepatitis C virus (chronic infection with)
RR-03613-5	Human immunodeficiency virus type 1 (infection with)
RR-03614-6	Human papillomavirus type 16
RR-03615-7	Human papillomavirus type 18
RR-03616-8	Human T-cell lymphotropic virus type I
RR-03617-9	Opisthorchis viverrini (infection with)
RR-03618-0	Schistosoma haematobium (infection with)
RR-03619-1	Solar radiation
RR-03620-4	Clonorchis sinensis (infection with)
RR-03621-5	Human papillomavirus type 31
RR-03622-6	Human papillomavirus type 33
RR-03623-7	Ultraviolet radiation A
RR-03624-8	Ultraviolet radiation B
RR-03625-9	Ultraviolet radiation C
RR-03627-1	Ultraviolet-emitting tanning devices
RR-03632-8	Hepatitis D virus
RR-03673-7	Occupational exposure as a painter
RR-03865-3	Epstein-Barr virus
RR-03866-4	Kaposi's sarcoma herpesvirus/human herpesvirus 8
RR-03925-8	Environmental tobacco smoke
RR-03941-8	Estrogen-only menopausal therapy
RR-04057-3	Radon decay products
RR-04124-7	Neutrons
RR-04125-8	X and .gamma. radiation
RR-04700-7	Plutonium 239 decay products
RR-04701-8	Radium 224 decay products
RR-04702-9	Radium 226 decay products
RR-04703-0	Radium 228 decay products
RR-04711-0	Radioiodines, short-lived isotopes, including iodine-131, from atomic reactor accidents and nuclear weapons detonation (exposure during childhood)
RR-04712-1	Thorium-232 decay products
RR-07173-8	Broad spectrum UV radiation (UVR)
RR-102702-7	Merkel cell polyomavirus
RR-112058-7	Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor according to WHO
RR-118695-4	Particulate matter in outdoor air pollution
RR-118696-5	Outdoor air pollution
RR-128267-3	Fluoro-edenite fibrous amphibole
RR-128283-3	Occupational exposures associated with the Acheson process to manufacture silicon carbide
RR-12841-6	Herbal remedies containing plant species of the genus Aristolochia
RR-129844-8	Acid mists, strong inorganic
RR-141229-9	Processed meat (consumption of)
RR-17720-8	Areca nut
RR-19252-9	Etoposide in combination with cisplatin and bleomycin
RR-209157-8	Automotive gasoline
RR-29040-4	Aristolochic acids
RR-56151-3	Occupational exposure as a firefighter
RR-56751-1	Indoor emissions from household combustion of coal
RR-56752-2	Chimney sweeping
RR-56753-3	Coal-tar distillation
RR-56754-4	Paving and roofing with coal-tar pitch
RR-56755-5	Estrogen-progestogen menopausal therapy (combined)
RR-56756-6	Human papillomavirus type 35
RR-56757-7	Human papillomavirus type 39
RR-56758-8	Human papillomavirus type 45
RR-56759-9	Human papillomavirus type 51
RR-56760-2	Human papillomavirus type 52
RR-56761-3	Human papillomavirus type 56
RR-56762-4	Human papillomavirus type 58
RR-56763-5	Human papillomavirus type 59
RR-64378-7	Leather dust
a	Benzo
