10043-92-2	Radon
10098-97-2	Strontium-90
101-14-4	4,4'-Methylenebis(2-chloroaniline)
10101-98-1	Nickel sulfate heptahydrate
10108-64-2	Cadmium chloride
10124-36-4	Cadmium sulfate
10294-40-3	Barium chromate
10325-94-7	Cadmium nitrate
104987-11-3	Tacrolimus
10540-29-1	Tamoxifen
10588-01-9	Disodium dichromate
106-99-0	1,3-Butadiene
107-13-1	Acrylonitrile
107-30-2	Chloromethyl methyl ether
11103-86-9	Zinc potassium chromate hydroxide
11113-75-0	Nickel sulfide
113803-47-7	MOPP
1162-65-8	Aflatoxin B1
1165-39-5	Aflatoxin G1
12001-28-4	Asbestos, crocidolite
12001-29-5	Asbestos, chrysotile
12035-52-8	Nickel antimonide
12054-48-7	Nickel hydroxide (Ni(OH)2)
12122-15-5	Basic nickel carbonate
12172-73-5	Asbestos, amosite
12174-14-0	Pentlandite
124-65-2	Sodium cacodylate
12607-70-4	Basic nickel carbonate
12656-85-8	Molybdenum Orange
1271-28-9	Nickelocene
130-80-3	Diethylstilbestrol dipropionate
1303-00-0	Gallium arsenide
1303-28-2	Arsenic pentoxide
1303-33-9	Arsenic sulfide
1304-56-9	Beryllium oxide
1306-19-0	Cadmium oxide
1306-23-6	Cadmium sulfide
1313-99-1	Nickel monoxide
1314-06-3	Nickel trioxide
13233-32-4	Radium 224
1327-53-3	Arsenic trioxide
1332-21-4	Asbestos
13327-32-7	Beryllium hydroxide
1333-82-0	Chromium trioxide
1336-36-3	Polychlorinated biphenyls
1344-38-3	Basic lead chromate
13463-39-3	Nickel carbonyl
13464-58-9	Arsenous acid
13510-49-1	Beryllium sulfate
13530-65-9	Zinc chromate
13597-99-4	Beryllium nitrate
137234-62-9	Voriconazole
13765-19-0	Calcium chromate
13768-00-8	Actinolite
13909-09-6	1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea
13981-52-7	Polonium-210
13982-63-3	Radium 226
1402-68-2	Aflatoxins
144-21-8	Methanearsonic acid, disodium salt
14414-68-7	Benzidine hydrochloride
14464-46-1	Silica, cristobalite
14596-37-3	Phosphorus 32
1464-53-5	Diepoxybutane
148-82-3	Melphalan
14808-60-7	Silica, crystalline, quartz
14859-67-7	Radon 222
14977-61-8	Chromyl chloride
14986-48-2	Chromium(VI) chloride
15117-48-3	Plutonium 239
15262-20-1	Radium 228
15930-94-6	Zinc chromate hydroxides
16543-55-8	N-Nitrosonornicotine
16812-54-7	Nickel sulfide (NiS)
17068-78-9	Anthophyllite
1746-01-6	2,3,7,8-Tetrachlorodibenzo-para-dioxin
18540-29-9	Chromium, ion (Cr6+)
21041-95-2	Cadmium hydroxide
27016-75-7	Nickel arsenide
298-81-7	Methoxsalen
299-75-2	Treosulphan
305-03-3	Chlorambucil
313-67-7	Aristolochic acid I
3333-67-3	Nickel carbonate
33419-42-0	Etoposide
335-67-1	Perfluorooctanoic acid
373-02-4	Nickel(II) acetate
37300-23-5	Zinc Yellow
446-86-6	Azathioprine
475-80-9	Aristolochic acid II
494-03-1	N,N-Bis(2-chloroethyl)-2-naphthylamine
50-00-0	Formaldehyde
50-18-0	Cyclophosphamide
50-28-2	Estradiol-17.beta.
50-32-8	Benzo(a)pyrene
505-60-2	Sulfur mustard
52-24-4	Tris(1-aziridinyl)phosphine sulfide
53-16-7	Estrone
531-85-1	Benzidine dihydrochloride
531-86-2	Benzidine sulfate (1:1)
53809-86-2	Pentlandite
542-88-1	Bis(chloromethyl) ether
543-90-8	Cadmium acetate
54965-24-1	Tamoxifen citrate
55-98-1	Busulfan
56-53-1	Diethylstilbestrol
57-63-6	Ethinylestradiol
57117-31-4	2,3,4,7,8-Pentachlorodibenzofuran
57465-28-8	3,3',4,4',5-Pentachlorobiphenyl
58-89-9	Lindane
58-93-5	Hydrochlorothiazide
59865-13-3	Cyclosporin A
6055-19-2	Cyclophosphamide monohydrate
62-44-2	Phenacetin
636-21-5	o-Toluidine hydrochloride
64091-91-4	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone
65996-93-2	Coal tar pitches
66733-21-9	Erionite
6795-23-9	Aflatoxin M1
68308-34-9	Shale oils
71-43-2	Benzene
71631-15-7	C.I. Pigment Black 30
7220-81-7	Aflatoxin B2
7241-98-7	Aflatoxin G2
7440-07-5	Plutonium
7440-29-1	Thorium-232
7440-38-2	Arsenic
7440-41-7	Beryllium
7440-43-9	Cadmium
7440-61-1	Uranium
7446-11-9	Sulfur trioxide
75-01-4	Vinyl chloride
75-07-0	Acetaldehyde
75-21-8	Ethylene oxide
7631-89-2	Sodium arsenate
7664-93-9	Sulfuric acid
7718-54-9	Nickel(II) chloride
77536-66-4	Asbestos, actinolite
77536-67-5	Anthophyllite, asbestiform
77536-68-6	Tremolite asbestos
7758-97-6	Lead chromate
7775-11-3	Sodium chromate
7778-39-4	Arsenic acid
7778-44-1	Calcium arsenate
7778-50-9	Potassium dichromate
7784-40-9	Lead arsenate
7784-41-0	Arsenic acid (H3AsO4), monopotassium salt
7784-46-5	Sodium arsenite
7786-81-4	Nickel sulfate
7787-47-5	Beryllium chloride
7787-49-7	Beryllium fluoride
7788-98-9	Ammonium chromate
7789-00-6	Chromic acid (H2CrO4), dipotassium salt
7789-06-2	Strontium chromate
7789-09-5	Ammonium dichromate
78-87-5	1,2-Dichloropropane
79-01-6	Trichloroethylene
79217-60-0	Cyclosporine
8007-45-2	Coal-tars
8008-60-4	Opium
8014-95-7	Oleum
80508-23-2	N'-Nitrosonornicotine
84237-38-7	N'-Nitrosonornicotine
