25497-30-7	25497-30-7
353-59-3	11104-73-7
353-59-3	353-59-3
353-59-3	UN1974
75-63-8	1452383-17-3
75-63-8	1519044-51-9
75-63-8	62395-25-9
75-63-8	75-63-8
75-63-8	UN1009
Dibromotetrafluoroethane	124-73-2
Dibromotetrafluoroethane	27336-23-8
Dibromotetrafluoroethane	76199-55-8
