# 刊行済みの巻だけを採る決まり（2026-09-08）のための表。正式一覧で「刊行準備中（in_prep）」の評価対象のうち、
# 前に刊行済みの巻で評価されているものについて、その刊行済みの評価を書く。ここに無い刊行準備中のものは載せない。
# 列: 名前（iarc-official.tsv のとおり） / 刊行済みのグループ / 刊行済みの巻（; 区切り、古い順） / 公表年 / 評価年
# 巻が刊行されて正式一覧の in_prep が外れたら、その行はここから消す（readOfficial が知らせる）
Atrazine	3	53;73	1999	1998
Butyl benzyl phthalate	3	Sup 7;73	1999	1998
Hepatitis D virus (HDV)	3	59	1994	1993
Merkel cell polyomavirus (MCPyV)	2A	104	2014	2012
