RR-03651-1	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
RR-03652-2	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons (Exemptions: N,N-Dimethylaminoethanol, N,N-Diethylaminoethanol and their corresponding protonated salts)
RR-04077-7	Schedule 1: Chemicals which can be used as chemical weapons (quaternaries and bisquaternaries of dimethylcarbamoyloxypyridines)
96-64-0	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (C<=10 including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates)
676-97-1	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons (listed under Chemicals, except for those listed in Schedule 1, containing a phosphorus atom to which is bonded one methyl, ethyl or propyl (normal or iso) group but not further carbon atoms)
676-99-3	Schedule 1: Chemicals which can be used as chemical weapons (listed under Alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonyldifluorides)
7040-57-5	Schedule 1: Chemicals which can be used as chemical weapons
756-79-6	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons (listed under Chemicals, except for those listed in Schedule 1, containing a phosphorus atom to which is bonded one methyl, ethyl or propyl (normal or iso) group but not further carbon atoms)
76-06-2	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
76-93-7	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
74-90-8	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
75-44-5	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
762-04-9	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
77104-00-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under Carbamates)
77104-62-2	Schedule 1: Chemicals which can be used as chemical weapons (listed under Carbamates)
7719-09-7	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
7719-12-2	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
RR-46231-7	Schedule 1: Chemicals which can be used as chemical weapons
RR-46232-8	Schedule 1: Chemicals which can be used as chemical weapons
RR-46233-9	Schedule 1: Chemicals which can be used as chemical weapons
RR-46234-0	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
RR-46235-1	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
RR-46236-2	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
RR-46237-3	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
RR-46238-4	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons (Exemptions: N,N-Dimethylaminoethanol, N,N-Diethylaminoethanol and their corresponding protonated salts)
10025-67-9	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
10025-87-3	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
10026-13-8	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
102-71-6	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
105-59-9	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
10545-99-0	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
111-48-8	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
107-44-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (C<=10 including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates)
142868-93-7	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
142868-94-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
1445-76-7	Schedule 1: Chemicals which can be used as chemical weapons
121-45-9	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
122-52-1	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
139-87-7	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
1619-34-7	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
2387495-99-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under P-Alkyl (H or <=C10, including cycloalkyl) N-(1-(dialkyl(<=C10, including cycloalkyl)amino))alkylidene(H or <=C10, including cycloalkyl) phosphonamidic fluorides and corresponding alkylated or protonated salts)
2387496-00-4	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or <=C10, including cycloalkyl) N-(1-(dialkyl(<=C10, including cycloalkyl)amino))alkylidene(H or <=C10, including cycloalkyl) phosphoramidofluoridates and corresponding alkylated or protonated salts)
