1224854-28-7	11
128035-10-9	13
1438279-26-5	34
1450926-36-9	19
1511-62-2	02
1868-53-7	01
20705-29-7	09
30283-90-0	07
30283-91-1	10
31392-96-8	09
353-93-5	04
357188-74-0	12
373-52-4	03
420-92-8	10
65291-92-1	34
72101-30-5	31
958807-68-6	23
Bromodifluoroethane	12
Bromodifluoropropane	33
Bromofluoroethane	13
Bromofluoropropane	34
Bromohexafluoropropane	19
Bromopentafluoropropane	24
Bromotetrafluoroethane	07
Bromotetrafluoropropane	28
Bromotrifluoroethane	10
Bromotrifluoropropane	31
Dibromodifluoroethane	09
Dibromodifluoropropane	30
Dibromofluoroethane	11
Dibromofluoropropane	32
Dibromopentafluoropropane	18
Dibromotetrafluoropropane	23
Dibromotrifluoroethane	05
Dibromotrifluoropropane	27
Hexabromofluoropropane	14
Pentabromodifluoropropane	15
Pentabromofluoropropane	20
RR-09007-3	04
RR-09008-4	05
RR-09014-2	14
RR-09015-3	15
RR-09016-4	16
RR-09017-5	17
RR-09018-6	18
RR-09019-7	19
RR-09020-0	20
RR-09021-1	21
RR-09022-2	22
RR-09023-3	23
RR-09024-4	24
RR-09025-5	25
RR-09026-6	26
RR-09027-7	27
RR-09409-7	28
RR-09410-0	29
RR-09411-1	30
RR-09413-3	32
RR-09414-4	33
RR-22879-5	08
Tetrabromodifluoropropane	21
Tetrabromofluoroethane	04
Tetrabromofluoropropane	25
Tetrabromotrifluoropropane	16
Tribromodifluoroethane	05
Tribromodifluoropropane	26
Tribromofluoroethane	08
Tribromofluoropropane	29
Tribromotetrafluoropropane	17
Tribromotrifluoropropane	22
